"","Degree.Type","Total.Applicants","Total.Successful","Overall.Success.Rate","Year","GrandTotalApps","GrandTotalHires","TotalApps","TotalHires","Degree","SuccessRate","OverallSuccessRate","RelativeSuccessRate","ShareofApps","ShareofHires","Overrepr","Area"
"1","Business",1159,9,0.01,"2011",14911,393,1159,9,"Business",0.00776531492666091,0.0263563811950909,-0.70537249142127,0.0777278519214003,0.0229007633587786,-0.70537249142127,"Business"
"2","Economics",1215,57,0.05,"2011",14911,393,1215,57,"Economics",0.0469135802469136,0.0263563811950909,0.779970470894983,0.0814834685802428,0.145038167938931,0.779970470894983,"SocSci & Humanities"
"3","Engineering",583,4,0.01,"2011",14911,393,583,4,"Engineering",0.00686106346483705,0.0263563811950909,-0.739681126401564,0.0390986520018778,0.0101781170483461,-0.739681126401564,"STEM"
"4","Humanities",4811,119,0.03,"2011",14911,393,4811,119,"Humanities",0.0247349823321555,0.0263563811950909,-0.0615182657639433,0.322647709744484,0.302798982188295,-0.0615182657639433,"SocSci & Humanities"
"5","Languages",1856,26,0.01,"2011",14911,393,1856,26,"Languages",0.0140086206896552,0.0263563811950909,-0.468492256734228,0.12447186640735,0.0661577608142494,-0.468492256734228,"SocSci & Humanities"
"6","Mathematics",517,15,0.03,"2011",14911,393,517,15,"Mathematics",0.0290135396518375,0.0263563811950909,0.100816513355087,0.0346723895110992,0.0381679389312977,0.100816513355087,"STEM"
"7","Medicine",97,5,0.05,"2011",14911,393,97,5,"Medicine",0.0515463917525773,0.0263563811950909,0.955746176648042,0.0065052645697807,0.0127226463104326,0.955746176648042,"Medicine"
"8","Multi Discipline",956,17,0.02,"2011",14911,393,956,17,"Multi Discipline",0.0177824267782427,0.0263563811950909,-0.325308484248406,0.0641137415330964,0.0432569974554707,-0.325308484248406,"Multi"
"9","Other",650,8,0.01,"2011",14911,393,650,8,"Other",0.0123076923076923,0.0263563811950909,-0.533027989821883,0.04359197907585,0.0203562340966921,-0.533027989821883,"Other"
"10","Sciences (Physical & Biology)",1612,29,0.02,"2011",14911,393,1612,29,"Sciences (Physical & Biology)",0.0179900744416873,0.0263563811950909,-0.317430025445293,0.108108108108108,0.0737913486005089,-0.317430025445293,"STEM"
"11","Social Sciences",4640,102,0.02,"2011",14911,393,4640,102,"Social Sciences",0.0219827586206897,0.0263563811950909,-0.165941695182943,0.311179666018376,0.259541984732824,-0.165941695182943,"SocSci & Humanities"
"12","Technology",265,2,0.01,"2011",14911,393,265,2,"Technology",0.00754716981132075,0.0263563811950909,-0.713649239041721,0.0177721145463081,0.00508905852417303,-0.713649239041721,"STEM"
"14","Business",1562,14,0.01,"2010",14911,465,1562,14,"Business",0.0089628681177977,0.0311850311850312,-0.712590695689287,0.104754878948427,0.0301075268817204,-0.712590695689287,"Business"
"15","Economics",2154,159,0.07,"2010",14911,465,2154,159,"Economics",0.0738161559888579,0.0311850311850312,1.36703806870938,0.144457112199048,0.341935483870968,1.36703806870938,"SocSci & Humanities"
"16","Engineering",657,7,0.01,"2010",14911,465,657,7,"Engineering",0.0106544901065449,0.0311850311850312,-0.658346017250127,0.0440614311582053,0.0150537634408602,-0.658346017250127,"STEM"
"17","Humanities",5686,86,0.02,"2010",14911,465,5686,86,"Humanities",0.0151248680970805,0.0311850311850312,-0.514995896353617,0.381329220038897,0.18494623655914,-0.514995896353617,"SocSci & Humanities"
"18","Languages",1592,22,0.01,"2010",14911,465,1592,22,"Languages",0.0138190954773869,0.0311850311850312,-0.556867671691792,0.106766816444236,0.0473118279569892,-0.556867671691792,"SocSci & Humanities"
"19","Mathematics",773,21,0.03,"2010",14911,465,773,21,"Mathematics",0.0271668822768435,0.0311850311850312,-0.128848641655886,0.0518409228086647,0.0451612903225806,-0.128848641655886,"STEM"
"20","Medicine",91,0,0,"2010",14911,465,91,0,"Medicine",0,0.0311850311850312,-1,0.00610287707061901,0,-1,"Medicine"
"21","Multi Discipline",1003,21,0.02,"2010",14911,465,1003,21,"Multi Discipline",0.0209371884346959,0.0311850311850312,-0.328614157527418,0.0672657769431963,0.0451612903225806,-0.328614157527418,"Multi"
"22","Other",657,7,0.01,"2010",14911,465,657,7,"Other",0.0106544901065449,0.0311850311850312,-0.658346017250127,0.0440614311582053,0.0150537634408602,-0.658346017250127,"Other"
"23","Sciences (Physical & Biology)",2049,42,0.02,"2010",14911,465,2049,42,"Sciences (Physical & Biology)",0.020497803806735,0.0311850311850312,-0.342703757930698,0.137415330963718,0.0903225806451613,-0.342703757930698,"STEM"
"24","Social Sciences",5135,85,0.02,"2010",14911,465,5135,85,"Social Sciences",0.0165530671859786,0.0311850311850312,-0.469198312236287,0.344376634699215,0.182795698924731,-0.469198312236287,"SocSci & Humanities"
"25","Technology",402,1,0,"2010",14911,465,402,1,"Technology",0.00248756218905473,0.0311850311850312,-0.920232172470978,0.0269599624438334,0.0021505376344086,-0.920232172470978,"STEM"
"27","Business",764,10,0.01,"2009",14911,629,764,10,"Business",0.0130890052356021,0.0421836228287841,-0.689713581767786,0.0512373415599222,0.0158982511923688,-0.689713581767786,"Business"
"28","Economics",1738,161,0.09,"2009",14911,629,1738,161,"Economics",0.0926352128883774,0.0421836228287841,1.19599945847154,0.116558245590504,0.255961844197138,1.19599945847154,"SocSci & Humanities"
"29","Engineering",358,12,0.03,"2009",14911,629,358,12,"Engineering",0.0335195530726257,0.0421836228287841,-0.205389418337167,0.0240091207833143,0.0190779014308426,-0.205389418337167,"STEM"
"30","Humanities",3977,182,0.05,"2009",14911,629,3977,182,"Humanities",0.0457631380437516,0.0421836228287841,0.0848555665665813,0.266715847361009,0.289348171701113,0.0848555665665813,"SocSci & Humanities"
"31","Languages",1111,43,0.04,"2009",14911,629,1111,43,"Languages",0.0387038703870387,0.0421836228287841,-0.0824906020013767,0.0745087519281068,0.068362480127186,-0.0824906020013766,"SocSci & Humanities"
"32","Mathematics",599,23,0.04,"2009",14911,629,599,23,"Mathematics",0.0383973288814691,0.0421836228287841,-0.0897574388687028,0.0401716853329757,0.0365659777424483,-0.0897574388687027,"STEM"
"33","Medicine",75,3,0.04,"2009",14911,629,75,3,"Medicine",0.04,0.0421836228287841,-0.0517647058823529,0.00502984373952116,0.00476947535771065,-0.0517647058823529,"Medicine"
"34","Multi Discipline",699,34,0.05,"2009",14911,629,699,34,"Multi Discipline",0.0486409155937053,0.0421836228287841,0.153075822603719,0.0468781436523372,0.0540540540540541,0.15307582260372,"Multi"
"35","Other",452,6,0.01,"2009",14911,629,452,6,"Other",0.0132743362831858,0.0421836228287841,-0.685320145757418,0.0303131916035142,0.0095389507154213,-0.685320145757418,"Other"
"36","Sciences (Physical & Biology)",1489,36,0.02,"2009",14911,629,1489,36,"Sciences (Physical & Biology)",0.0241773002014775,0.0421836228287841,-0.426855765812033,0.0998591643752934,0.0572337042925278,-0.426855765812033,"STEM"
"37","Social Sciences",3407,117,0.03,"2009",14911,629,3407,117,"Social Sciences",0.0343410625183446,0.0421836228287841,-0.185914812065125,0.228489034940648,0.186009538950715,-0.185914812065125,"SocSci & Humanities"
"38","Technology",242,2,0.01,"2009",14911,629,242,2,"Technology",0.00826446280991736,0.0421836228287841,-0.804083616917842,0.0162296291328549,0.00317965023847377,-0.804083616917841,"STEM"
